id,salary_pay,salary_rate,salary_avg,salary_min,salary_max,salary_hourly,salary_yearly,salary_standardized,title,company_name,location,via,extensions,posted_at,schedule_type,work_from_home,date_time,description_tokens
5148,35 to 150,an hour,92.5,35.0,150.0,92.5,,192400.0,Dune Analytics: Blockchain data,Upwork,Anywhere,via Upwork,"['16 hours ago', '35 to 150 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",16 hours ago,Contractor,True,00:38.3,[]
5149,,,,,,,,,"Research project proposal using R,Rstudio",Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor']",17 hours ago,Contractor,True,00:38.3,[]
5150,,,,,,,,,Statistical Task - using R,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor']",17 hours ago,Contractor,True,00:38.3,['c']
5151,,,,,,,,,Senior SAP BI/BW/DWC consultant,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor']",17 hours ago,Contractor,True,00:38.3,"['javascript', 'sql', 'sap', 'python']"
5152,,,,,,,,,Time series analysis,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor']",17 hours ago,Contractor,True,00:39.3,[]
5153,,,,,,,,,400 word stata analysis,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor']",17 hours ago,Contractor,True,00:39.3,['word']
5154,,,,,,,,,Expert in Regression & Statistical Analysis in RStudio,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor']",17 hours ago,Contractor,True,00:39.3,['r']
5155,,,,,,,,,Multi-omics analysis (scRNAseq) + AI  Experts,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor']",17 hours ago,Contractor,True,00:39.3,[]
5156,,,,,,,,,P2P Analyst,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor']",17 hours ago,Contractor,True,00:39.3,[]
5157,,,,,,,,,Logistic Regression + Liner regression,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:39.3,['jupyter']
5158,,,,,,,,,GA4 Implementation & Data Transfer,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:39.3,[]
5159,,,,,,,,,Tableau data cleaning and analysis,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:39.3,[]
5160,,,,,,,,,Minitab Six Sigma Project,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:39.3,[]
5161,,,,,,,,,Json File - Manipulation and Excel Table,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:39.3,[]
5162,,,,,,,,,Data Analyst,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:44.8,"['sql', 'power_bi', 'looker']"
5163,,,,,,,,,HR Analytics - Power BI Consultants,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:44.8,[]
5164,,,,,,,,,Thermogravimetric Analysis for chemical reaction for Pervoskite...,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:44.8,[]
5165,,,,,,,,,data analysis in EXCEL,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:08.6,['excel']
5166,,,,,,,,,SQL assignment,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:08.6,"['sql', 'go']"
5167,,,,,,,,,MS Excel Pivot table expert,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:08.6,['excel']
5168,,,,,,,,,Bitcoin data visualization,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:08.6,[]
5169,,,,,,,,,Data Analyst needed to perform extensive analysis on a banking...,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:08.6,"['jupyter', 'python']"
5170,,,,,,,,,Build responsive excel dashboards,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:08.6,['excel']
5171,,,,,,,,,"Data Analyst (SQL, Google Data Studio,Python) For Adwords",Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:08.6,"['javascript', 'php', 'sql', 'excel', 'python']"
5172,,,,,,,,,Pardot - Google Analytics Expert,Upwork,Anywhere,via Upwork,"['17 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:08.6,[]
5173,12 to 25,an hour,18.5,12.0,25.0,18.5,,38480.0,Setup Google Analytics,Upwork,Anywhere,via Upwork,"['17 hours ago', '12 to 25 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:08.6,[]
5174,12 to 33,an hour,22.5,12.0,33.0,22.5,,46800.0,Power BI Tutor/Mentor/Trainer,Upwork,Anywhere,via Upwork,"['17 hours ago', '12 to 33 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:08.6,"['power_bi', 'dax']"
5175,12 to 35,an hour,23.5,12.0,35.0,23.5,,48880.0,Population is a big problem our world,Upwork,Anywhere,via Upwork,"['17 hours ago', '12 to 35 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:09.6,[]
5176,17 to 25,an hour,21.0,17.0,25.0,21.0,,43680.0,Visualization using Python & Tableau,Upwork,Anywhere,via Upwork,"['17 hours ago', '17 to 25 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:09.6,[]
5177,17 to 45,an hour,31.0,17.0,45.0,31.0,,64480.0,Need a data analyst expertise in SQL,Upwork,Anywhere,via Upwork,"['17 hours ago', '17 to 45 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:09.6,['tableau']
5178,17 to 45,an hour,31.0,17.0,45.0,31.0,,64480.0,Sas,Upwork,Anywhere,via Upwork,"['17 hours ago', '17 to 45 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:09.6,[]
5179,20 to 45,an hour,32.5,20.0,45.0,32.5,,67600.0,Wellbeing Survey Qualitative and Quantitative Analysis,Upwork,Anywhere,via Upwork,"['17 hours ago', '20 to 45 an hour', 'Work from home', 'Contractor']",17 hours ago,Contractor,True,00:09.6,[]
5180,30 to 50,an hour,40.0,30.0,50.0,40.0,,83200.0,Data Analyst Remote,Upwork,Anywhere,via Upwork,"['17 hours ago', '30 to 50 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:09.6,[]
5181,30 to 50,an hour,40.0,30.0,50.0,40.0,,83200.0,Data Analyst,Upwork,Anywhere,via Upwork,"['17 hours ago', '30 to 50 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:09.6,[]
5182,30 to 60,an hour,45.0,30.0,60.0,45.0,,93600.0,Oracle OBIEE Plus Specialist,Upwork,Anywhere,via Upwork,"['17 hours ago', '30 to 60 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:09.6,[]
5183,40 to 50,an hour,45.0,40.0,50.0,45.0,,93600.0,Data Analysis | Advertising Data (Facebook Ads),Upwork,Anywhere,via Upwork,"['17 hours ago', '40 to 50 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:09.6,[]
5184,35 to 150,an hour,92.5,35.0,150.0,92.5,,192400.0,Write an R script for out-of-sample (OOS) panel model evaluation,Upwork,Anywhere,via Upwork,"['17 hours ago', '35 to 150 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:09.6,[]
5185,70 to 115,an hour,92.5,70.0,115.0,92.5,,192400.0,Data scientist or researcher to create content,Upwork,Anywhere,via Upwork,"['17 hours ago', '70 to 115 an hour', 'Work from home', 'Contractor']",17 hours ago,Contractor,True,00:11.7,[]
5186,70 to 115,an hour,92.5,70.0,115.0,92.5,,192400.0,Senior Data Analyst,Upwork,Anywhere,via Upwork,"['17 hours ago', '70 to 115 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",17 hours ago,Contractor,True,00:11.7,[]
5187,8 to 12,an hour,10.0,8.0,12.0,10.0,,20800.0,Google Analytics Setup,Upwork,Anywhere,via Upwork,"['18 hours ago', '8 to 12 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:11.7,['word']
5188,,,,,,,,,Qualitative and Quantitative research,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor']",18 hours ago,Contractor,True,00:11.7,[]
5189,,,,,,,,,Isolation forest-Linear mixed models,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor']",18 hours ago,Contractor,True,00:11.7,[]
5190,,,,,,,,,Econometrics Project,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor']",18 hours ago,Contractor,True,00:11.7,['r']
5191,,,,,,,,,Help with stata,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor']",18 hours ago,Contractor,True,00:11.7,[]
5192,,,,,,,,,Summary statistics using R,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor']",18 hours ago,Contractor,True,00:11.7,[]
5193,,,,,,,,,SPSS data analysis report,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor']",18 hours ago,Contractor,True,00:11.7,[]
5194,,,,,,,,,Operations Analyst in maritime Industry,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor']",18 hours ago,Contractor,True,00:11.7,"['terminal', 'tableau']"
5195,,,,,,,,,Determining spatial location using multi criteria analysis,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor']",18 hours ago,Contractor,True,00:14.5,[]
5196,,,,,,,,,Data Scientist,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor']",18 hours ago,Contractor,True,00:14.5,[]
5197,,,,,,,,,Need Data Analyst with emerging deep learning techniques and image...,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor']",18 hours ago,Contractor,True,00:14.5,[]
5198,,,,,,,,,Python Data Analysis Script,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor']",18 hours ago,Contractor,True,00:14.5,['python']
5199,,,,,,,,,Survival Analysis on a Dataset using R,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor']",18 hours ago,Contractor,True,00:14.5,[]
5200,,,,,,,,,Expert in Python and Data analysis needed,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor']",18 hours ago,Contractor,True,00:14.5,['python']
5201,,,,,,,,,Acuity Tracking Google Analytics 4,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:14.5,[]
5202,,,,,,,,,Need someone to analyze data patterns,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:14.5,[]
5203,,,,,,,,,Excel algorithm or macro,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:14.5,['excel']
5204,,,,,,,,,Product - Python - Data Analyst,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:14.5,"['php', 'sql', 'tableau', 'power_bi']"
5205,,,,,,,,,Data analytics personal trainer needed,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:15.5,"['sql', 'excel']"
5206,,,,,,,,,Data Analyst/BI Expert design dashboard and automate series of...,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:15.5,['excel']
5207,,,,,,,,,Data analyst/BI expert to help automate a series of analytics reports,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:15.5,['power_bi']
5208,,,,,,,,,Data Analyst for custom scripts needed,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:15.5,"['excel', 'go', 'python']"
5209,,,,,,,,,Udemy Python and SQL Data Analysis Instructor,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:15.5,"['sql', 'python']"
5210,,,,,,,,,Excel Expert Needed for Data Analysis and Visualization Project,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:15.5,['excel']
5211,,,,,,,,,Java: Data analysis and reports,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:15.5,"['spark', 'word', 'hadoop', 'unix', 'scala']"
5212,,,,,,,,,11234713254 - Need a data analysis expert for a short urgent task,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:15.5,[]
5213,,,,,,,,,Big Data  using Pig Latin,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:15.5,[]
5214,10 to 25,an hour,17.5,10.0,25.0,17.5,,36400.0,Power BI Specialist Needed,Upwork,Anywhere,via Upwork,"['18 hours ago', '10 to 25 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:15.5,['power_bi']
5215,10 to 25,an hour,17.5,10.0,25.0,17.5,,36400.0,R programming for stockmarket analysis - data collection and...,Upwork,Anywhere,via Upwork,"['18 hours ago', '10 to 25 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:16.5,['r']
5216,12 to 35,an hour,23.5,12.0,35.0,23.5,,48880.0,Google Analytics/ GTM / Conversion Attribution,Upwork,Anywhere,via Upwork,"['18 hours ago', '12 to 35 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:16.5,[]
5217,15 to 40,an hour,27.5,15.0,40.0,27.5,,57200.0,Help me understanding SQL,Upwork,Anywhere,via Upwork,"['18 hours ago', '15 to 40 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:16.5,['sql']
5218,17 to 30,an hour,23.5,17.0,30.0,23.5,,48880.0,Zoho Analytics Engineer,Upwork,Anywhere,via Upwork,"['18 hours ago', '17 to 30 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:16.5,[]
5219,17 to 45,an hour,31.0,17.0,45.0,31.0,,64480.0,Media Analyst,Upwork,Anywhere,via Upwork,"['18 hours ago', '17 to 45 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:16.5,"['excel', 'powerpoint']"
5220,17 to 45,an hour,31.0,17.0,45.0,31.0,,64480.0,Data analyst/BI expert to help automate a series of marketing...,Upwork,Anywhere,via Upwork,"['18 hours ago', '17 to 45 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:16.5,[]
5221,25 to 50,an hour,37.5,25.0,50.0,37.5,,78000.0,Research Tutor/Advisor for Quantitative Analysis of Psychological...,Upwork,Anywhere,via Upwork,"['18 hours ago', '25 to 50 an hour', 'Work from home', 'Contractor']",18 hours ago,Contractor,True,00:16.5,"['go', 'spss']"
5222,25 to 100,an hour,62.5,25.0,100.0,62.5,,130000.0,"Statistics expert (R, Python) for time series analysis",Upwork,Anywhere,via Upwork,"['18 hours ago', '25 to 100 an hour', 'Work from home', 'Contractor']",18 hours ago,Contractor,True,00:16.5,['r']
5223,40 to 100,an hour,70.0,40.0,100.0,70.0,,145600.0,Tracking Setup for a (cool) Webapp,Upwork,Anywhere,via Upwork,"['18 hours ago', '40 to 100 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:16.5,['go']
5224,,,,,,,,,GIS Data Analyst for Hargeisa,Upwork,Anywhere,via Upwork,"['19 hours ago', 'Work from home', 'Full-time']",19 hours ago,Full-time,True,00:16.5,"['outlook', 'word', 'excel', 'powerpoint']"
5225,,,,,,,,,Explorative Data Analysis,Upwork,Anywhere,via Upwork,"['19 hours ago', 'Work from home', 'Contractor']",19 hours ago,Contractor,True,00:20.7,[]
5226,,,,,,,,,Data Science University Course Project,Upwork,Anywhere,via Upwork,"['19 hours ago', 'Work from home', 'Contractor']",19 hours ago,Contractor,True,00:20.7,"['numpy', 'pandas', 'python']"
5227,,,,,,,,,Data Scientist for Farm,Upwork,Anywhere,via Upwork,"['19 hours ago', 'Work from home', 'Contractor']",19 hours ago,Contractor,True,00:20.7,[]
5228,,,,,,,,,Data analysis using excel,Upwork,Anywhere,via Upwork,"['19 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:20.7,['excel']
5229,,,,,,,,,KPI and  data analytics for FInance and inventory,Upwork,Anywhere,via Upwork,"['19 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:20.7,[]
5230,,,,,,,,,Excel expert,Upwork,Anywhere,via Upwork,"['19 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:20.7,['excel']
5231,,,,,,,,,Data Analytic Presenter,Upwork,Anywhere,via Upwork,"['19 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:20.7,[]
5232,,,,,,,,,Data Analyst,Upwork,Anywhere,via Upwork,"['19 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:20.7,"['power_bi', 'tableau']"
5233,,,,,,,,,A quick job for pet supplies,Upwork,Anywhere,via Upwork,"['19 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:20.7,[]
5234,,,,,,,,,A quick job for pet supplies,Upwork,Anywhere,via Upwork,"['19 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:20.7,[]
5235,,,,,,,,,Marketing Analytics Expert,Upwork,Anywhere,via Upwork,"['19 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:22.8,[]
5236,,,,,,,,,Data engineering/Data analyst/Bigdata analysis,Upwork,Anywhere,via Upwork,"['19 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:22.8,[]
5237,,,,,,,,,Google Analytics Optimisation Specialist (E-commerce),Upwork,Anywhere,via Upwork,"['19 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:22.8,[]
5238,,,,,,,,,Data Analyst,Upwork,Anywhere,via Upwork,"['19 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:22.8,[]
5239,,,,,,,,,Data Analysis,Upwork,Anywhere,via Upwork,"['19 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:22.8,[]
5240,,,,,,,,,Seeking Data Analysts to test and review the ZIPPYDOC Data...,Upwork,Anywhere,via Upwork,"['19 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:22.8,['excel']
5241,,,,,,,,,Data Analyst,Upwork,Anywhere,via Upwork,"['19 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:22.8,[]
5242,,,,,,,,,Create a php web app for FedEx Rates,Upwork,Anywhere,via Upwork,"['19 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:22.8,[]
5243,10 to 15,an hour,12.5,10.0,15.0,12.5,,26000.0,Need help with analyzing our data with Google Analytics (GA4) ...,Upwork,Anywhere,via Upwork,"['19 hours ago', '10 to 15 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:22.8,[]
5244,10 to 25,an hour,17.5,10.0,25.0,17.5,,36400.0,Google analytics expert (no agencies),Upwork,Anywhere,via Upwork,"['19 hours ago', '10 to 25 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:22.8,[]
5245,15 to 30,an hour,22.5,15.0,30.0,22.5,,46800.0,ClickSense Expert,Upwork,Anywhere,via Upwork,"['19 hours ago', '15 to 30 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:24.4,[]
5246,15 to 35,an hour,25.0,15.0,35.0,25.0,,52000.0,Web Analyst (Digital Analyst),Upwork,Anywhere,via Upwork,"['19 hours ago', '15 to 35 an hour', 'Work from home', 'Full-time']",19 hours ago,Full-time,True,00:24.4,['sql']
5247,17 to 45,an hour,31.0,17.0,45.0,31.0,,64480.0,Convert an R process into Python,Upwork,Anywhere,via Upwork,"['19 hours ago', '17 to 45 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:24.4,"['postgres', 'r', 'jupyter', 'python']"
5248,17 to 45,an hour,31.0,17.0,45.0,31.0,,64480.0,Fix Excel worksheet issue with pivot table,Upwork,Anywhere,via Upwork,"['19 hours ago', '17 to 45 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:24.4,['spreadsheet']
5249,17 to 45,an hour,31.0,17.0,45.0,31.0,,64480.0,Data analyst/BI expert to help automate a series of analytics...,Upwork,Anywhere,via Upwork,"['19 hours ago', '17 to 45 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:24.4,['power_bi']
5250,17 to 45,an hour,31.0,17.0,45.0,31.0,,64480.0,Excel Analytics and Reporting,Upwork,Anywhere,via Upwork,"['19 hours ago', '17 to 45 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:24.4,"['visual_basic', 'excel']"
5251,25 to 55,an hour,40.0,25.0,55.0,40.0,,83200.0,Data Scientist at AI-Medtech Company,Upwork,Anywhere,via Upwork,"['19 hours ago', '25 to 55 an hour', 'Work from home', 'Contractor']",19 hours ago,Contractor,True,00:24.4,"['git', 'pytorch', 'tensorflow', 'bash', 'numpy', 'pandas', 'python', 'aws']"
5252,40 to 75,an hour,57.5,40.0,75.0,57.5,,119600.0,Data analytics,Upwork,Anywhere,via Upwork,"['19 hours ago', '40 to 75 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:24.4,['power_bi']
5253,50 to 70,an hour,60.0,50.0,70.0,60.0,,124800.0,Australia Data Analyst,Upwork,Anywhere,via Upwork,"['19 hours ago', '50 to 70 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",19 hours ago,Contractor,True,00:24.4,[]
5254,,,,,,,,,ROC curves and AUC,Upwork,Anywhere,via Upwork,"['20 hours ago', 'Work from home', 'Contractor']",20 hours ago,Contractor,True,00:24.4,[]
5255,,,,,,,,,Office letter receive/ issue Record Management System,Upwork,Anywhere,via Upwork,"['20 hours ago', 'Work from home', 'Contractor']",20 hours ago,Contractor,True,00:26.0,['excel']
5256,,,,,,,,,Data scientist to help find pattern,Upwork,Anywhere,via Upwork,"['20 hours ago', 'Work from home', 'Contractor']",20 hours ago,Contractor,True,00:26.0,"['go', 'word']"
5257,,,,,,,,,Data Engineer/ Data Analyst-India,Upwork,Anywhere,via Upwork,"['20 hours ago', 'Work from home', 'Contractor']",20 hours ago,Contractor,True,00:26.0,"['alteryx', 'go', 'java', 'c', 'sql', 'snowflake', 'python', 'scala', 'azure']"
5258,,,,,,,,,Google Data Studio Specialist (Data Scientist),Upwork,Anywhere,via Upwork,"['20 hours ago', 'Work from home', 'Contractor']",20 hours ago,Contractor,True,00:26.0,['sql']
5259,,,,,,,,,Python Data Analysis,Upwork,Anywhere,via Upwork,"['20 hours ago', 'Work from home', 'Contractor']",20 hours ago,Contractor,True,00:26.0,[]
5260,,,,,,,,,looking for Spss T-Test,Upwork,Anywhere,via Upwork,"['20 hours ago', 'Work from home', 'Contractor']",20 hours ago,Contractor,True,00:26.0,['spss']
5261,,,,,,,,,Data Analyst - Researcher - PhD,Upwork,Anywhere,via Upwork,"['20 hours ago', 'Work from home', 'Contractor']",20 hours ago,Contractor,True,00:26.0,"['php', 'sql', 'tableau', 'python', 'power_bi']"
5262,,,,,,,,,"Data scientist/data analyst Collect, analyze and recognize...",Upwork,Anywhere,via Upwork,"['20 hours ago', 'Work from home', 'Contractor']",20 hours ago,Contractor,True,00:26.0,[]
5263,,,,,,,,,Python and Time series Analysis,Upwork,Anywhere,via Upwork,"['20 hours ago', 'Work from home', 'Contractor']",20 hours ago,Contractor,True,00:26.0,"['python', 'excel']"
5264,,,,,,,,,Final year project for data analysis,Upwork,Anywhere,via Upwork,"['20 hours ago', 'Work from home', 'Contractor']",20 hours ago,Contractor,True,00:26.0,[]
5265,,,,,,,,,Urgent. Expert needed for data science assessment,Upwork,Anywhere,via Upwork,"['20 hours ago', 'Work from home', 'Contractor']",20 hours ago,Contractor,True,00:28.8,[]
5266,,,,,,,,,Data analyst/BI expert to help automate a series of analytics reports,Upwork,Anywhere,via Upwork,"['20 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",20 hours ago,Contractor,True,00:28.8,[]
5267,,,,,,,,,Data analyst/BI expert to help automate a series of analytics reports,Upwork,Anywhere,via Upwork,"['20 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",20 hours ago,Contractor,True,00:28.8,[]
5268,,,,,,,,,Data Analysis and Visualization Using Customer Data CSV,Upwork,Anywhere,via Upwork,"['20 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",20 hours ago,Contractor,True,00:28.8,[]
5269,,,,,,,,,Business Intelligence using Microsoft Excel,Upwork,Anywhere,via Upwork,"['20 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",20 hours ago,Contractor,True,00:28.8,['excel']
5270,,,,,,,,,Excel Spreadsheet - Create Master,Upwork,Anywhere,via Upwork,"['20 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",20 hours ago,Contractor,True,00:28.8,"['spreadsheet', 'excel']"
5271,,,,,,,,,Data Analyst required for historical Analysis of plant Data ...,Upwork,Anywhere,via Upwork,"['20 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",20 hours ago,Contractor,True,00:28.8,['excel']
5272,,,,,,,,,Data analyst/BI expert to help automate a series of analytics reports,Upwork,Anywhere,via Upwork,"['20 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",20 hours ago,Contractor,True,00:28.8,[]
